Segment Code_Segment Description;GS1 Segment-Google TAX;Family CodeFamily Description;GS1 Family-Google TAX;Class CodeClass Description;GS1 Class-Google TAX
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50180000_Bread/Bakery Products;80201_Bakery;50182200_Savoury Bakery Products;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50180000_Bread/Bakery Products;80201_Bakery;50182000_Sweet Bakery Products;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50220000_Cereal/Grain/Pulse Products;;50221300_Cereal/Grain/Pulse Products Variety Packs;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50220000_Cereal/Grain/Pulse Products;;50221000_Grains/Flour;80211_Grains, Rice & Cereal
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50220000_Cereal/Grain/Pulse Products;;50221200_Processed Cereal Products;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50160000_Confectionery/Sugar Sweetening Products;;50161800_Confectionery Products;{80202_Candied & Chocolate Covered Fruit, 80203_Candy & Chocolate}
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50160000_Confectionery/Sugar Sweetening Products;;50161900_Confectionery/Sugar Sweetening Products Variety Packs;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50160000_Confectionery/Sugar Sweetening Products;;50161500_Sugars/Sugar Substitute Products;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50230000_Food/Beverage/Tobacco Variety Packs;;50230100_Food/Beverage/Tobacco Variety Packs;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251300_Annona;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251400_Avocados;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50250700_Bananas;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251000_Berries/Small Fruit;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50250600_Citrus;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50252000_Fruits – Unprepared/Unprocessed (Fresh) Variety Packs;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251200_Kiwifruits;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251900_Miscellaneous Fruit;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251700_Papayas;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251600_Passionfruits;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251500_Persimmon;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251100_Pineapples;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50251800_Pitayas;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50250800_Pome Fruits;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50250000_Fruits – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50250900_Stone Fruit;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50270000_Fruits – Unprepared/Unprocessed (Frozen);80210_Fruits & Vegetables;50270100_Fruits – Unprepared/Unprocessed (Frozen);
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50310000_Fruits – Unprepared/Unprocessed (Shelf Stable);80210_Fruits & Vegetables;50310100_Fruits – Unprepared/Unprocessed (Shelf Stable);
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50100000_Fruits/Vegetables/Nuts/Seeds Prepared/Processed;80210_Fruits & Vegetables;50102000_Fruit – Prepared/Processed;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50100000_Fruits/Vegetables/Nuts/Seeds Prepared/Processed;80210_Fruits & Vegetables;50101900_Fruit/Nuts/Seeds Combination;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50100000_Fruits/Vegetables/Nuts/Seeds Prepared/Processed;80210_Fruits & Vegetables;50102200_Fruits/Vegetables/Nuts/Seeds Variety Packs;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50100000_Fruits/Vegetables/Nuts/Seeds Prepared/Processed;80210_Fruits & Vegetables;50101800_Nuts/Seeds – Prepared/Processed;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50100000_Fruits/Vegetables/Nuts/Seeds Prepared/Processed;80210_Fruits & Vegetables;50102100_Vegetables – Prepared/Processed;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50350000_Leaf Vegetables – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50350100_Chicory Leaves;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50350000_Leaf Vegetables – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50350200_Head Lettuce;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50350000_Leaf Vegetables – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50350600_Leaf Vegetables – Unprepared/Unprocessed Variety Packs;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50350000_Leaf Vegetables – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50350300_Loose Leaf/Multileaf Salad Greens;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50350000_Leaf Vegetables – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50350400_Single Leaf Salad Greens;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50350000_Leaf Vegetables – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50350500_Spinach (Fresh);
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50350000_Leaf Vegetables – Unprepared/Unprocessed (Fresh);80210_Fruits & Vegetables;50350700_Stem Lettuce;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50240000_Meat/Poultry;80212_Meat, Seafood & Eggs;50240100_Meat/Poultry – Prepared/Processed;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50240000_Meat/Poultry;80212_Meat, Seafood & Eggs;50240200_Meat/Poultry – Unprepared/Unprocessed;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50240000_Meat/Poultry;80212_Meat, Seafood & Eggs;50240300_Meat/Poultry Sausages – Prepared/Processed;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50130000_Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes;80206_Dairy Products;50131900_Butter/Butter Substitutes;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50130000_Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes;80206_Dairy Products;50131800_Cheese/Cheese Substitutes;
50000000_Food/Beverage/Tobacco;80000_Food, Beverages & Tobacco;50130000_Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes;80206_Dairy Products;50132000_Cream/Cream Substitutes;
