Segment Code_Segment Description;GS1 Segment-Google TAX;Family CodeFamily Description;GS1 Family-Google TAX;Class CodeClass Description;GS1 Class-Google TAX
51000000_Healthcare;110100_Health Care;51110000_Family Planning;;51111600_Hormonal Contraception;110107_Contraceptive Cases
51000000_Healthcare;110100_Health Care;51110000_Family Planning;;51111700_Intra-uterine Contraception;110122_Spermicides
51000000_Healthcare;110100_Health Care;51120000_Health Enhancement;;51121500_Dietary Aids;
51000000_Healthcare;110100_Health Care;51120000_Health Enhancement;;51121900_Energy/Stimulant Products;
51000000_Healthcare;110100_Health Care;51120000_Health Enhancement;;51121800_Health Enhancement Variety Packs;
51000000_Healthcare;110100_Health Care;51120000_Health Enhancement;;51121600_Vitamins/Minerals/Nutritional Supplements;110109_Fitness & Nutrition
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102200_Baby Treatments;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102400_Bladder/Genital/Rectal Products;110307_Enema Kits & Supplies
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51101600_Drug Administration;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51103200_Enteral Feeding Equipment;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51101700_First Aid;110108_First Aid
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102600_Flower/Homoeopathic/Homeopathic Remedies;110101_Acupuncture
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51101800_Foot/Leg Care/Treatments;{110123_Stump Shrinkers, 110124_Supports & Braces, 110309_Foot Care}
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102700_Gastrointestinal Remedy Products;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51101900_Habit Treatment;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102300_Health Treatments/Aids Variety Packs;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51103300_Oral/Mouth Treatments;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102500_Pain Relief Products;110125_Surgical Lubricants
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51101500_Personal Aids;{110102_Bed Pans, 110117_Mobility & Accessibility}
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102900_Respiratory/Allergy Products;{110120_Respiratory Care, 40302 Nasal Aspirators}
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102100_Sensory Organs Care/Treatments;{110110_Hearing Aids, 110306_Ear Care, 110319_Vision Care}
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51103000_Skin/Scalp Aid Products;
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51102800_Sleeping/Stress Relieving Products;110315_Sleeping Aids
51000000_Healthcare;110100_Health Care;51100000_Health Treatments/Aids;;51103100_Travel Sickness Products;
51000000_Healthcare;110100_Health Care;51140000_Healthcare Variety Packs;;51140100_Healthcare Variety Packs;
51000000_Healthcare;110100_Health Care;51130000_Home Diagnostics;;51131500_Diagnostic Monitors;110103_Biometric Monitor Accessories, 110104_Biometric Monitors
51000000_Healthcare;110100_Health Care;51130000_Home Diagnostics;;51131600_Diagnostic Tests;{110115_Medical Tests, 110121_Specimen Cups}
51000000_Healthcare;110100_Health Care;51130000_Home Diagnostics;;51131700_Home Diagnostics Variety Packs;
51000000_Healthcare;110100_Health Care;51150000_Medical Devices;;51150100_Medical Devices;{51906_Medical Instruments, 110113_Medical Alarm Systems}
51000000_Healthcare;110100_Health Care;51160000_Pharmaceutical Drugs;;51160100_Pharmaceutical Drugs;110116_Medicine & Drugs
51000000_Healthcare;110100_Health Care;51170000_Veterinary Healthcare;;51170200_Veterinary Medical Devices;
51000000_Healthcare;110100_Health Care;51170000_Veterinary Healthcare;;51170100_Veterinary Pharmaceuticals;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53220000_Beauty/Personal Care/Hygiene Variety Packs;;53220100_Beauty/Personal Care/Hygiene Variety Packs;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53200000_Body Products;;53201000_Body Massage/Toning;110311_Massage & Relaxation
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53160000_Cosmetics/Fragrances;110302_Cosmetics;53161500_Aromatherapy;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53160000_Cosmetics/Fragrances;110302_Cosmetics;53161000_Cosmetic Products;{52101 Piercing_Supplies, 52102_Tattooing Supplies}
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53160000_Cosmetics/Fragrances;110302_Cosmetics;53161400_Cosmetics/Fragrances Variety Packs;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53160000_Cosmetics/Fragrances;110302_Cosmetics;53161300_Fragrances;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53160000_Cosmetics/Fragrances;110302_Cosmetics;53161200_Nail Cosmetic/Care Products;51002_Pedicure Chairs
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53140000_Hair Products;110310_Hair Care;53141100_Hair Care Products;{51001_Hairdressing Capes & Neck Covers, 51003_Salon Chairs}
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53140000_Hair Products;110310_Hair Care;53141200_Hair Products Variety Packs;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53140000_Hair Products;110310_Hair Care;53141000_Hair Removal/Masking Products;110318_Tweezers, 110314_Shaving & Grooming
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53180000_Personal Hygiene Products;;53181300_Adult Incontinence;110111_Incontinence Aids
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53180000_Personal Hygiene Products;;53181200_Feminine/Nursing Hygiene;110308_Feminine Sanitary Supplies
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53180000_Personal Hygiene Products;;53181100_General Personal Hygiene;{110303_Cotton Balls, 110304_Cotton Swabs}
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53180000_Personal Hygiene Products;;53181500_Oral Hygiene;110312_Oral Care
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53180000_Personal Hygiene Products;;53181600_Personal Hygiene Products Variety Packs;110305_Deodorant & Anti-Perspirant
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53230000_Personal Intimacy;;53230100_Sexual Toys/Aids;{110313_Personal Lubricants, 140108_Sex Toys}
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53130000_Skin Products;;53131300_Body Washing;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53130000_Skin Products;;53131100_Skin Care;110301_Back Care
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53130000_Skin Products;;53131400_Skin Products Variety Packs;
53000000_Beauty/Personal Care/Hygiene;110300_Personal Care;53130000_Skin Products;;53131200_Skin Tanning Products;{110316_Spray Tanning Tents,110317_Tanning Beds}
54000000_Baby Care;40000_Baby & Toddler;54120000_Baby Care Variety Packs;;54120100_Baby Care Variety Packs;
54000000_Baby Care;40000_Baby & Toddler;54100000_Baby Feeding/Hygiene;{40800_Diapering, 40900_Nursing & Feeding, 40100_Baby Bathing, 41000_Potty Training};54101500_Baby Feeding;{40901_Baby & Toddler Food, 40902_Baby Bottle Nipples & Liners, 40903_Baby Bottles, 40904_Baby Care Timers, 40905_Bibs, 40906_Bottle Warmers & Sterilizers, 40907_Breast Milk Storage Containers, 40908_Breast Pump Accessories, 40909_Breast Pumps, 40910_Burp Cloths, 40911_Nursing Covers, 40912_Nursing Pads & Shields, 40913_Nursing Pillow Covers, 40914_Nursing Pillows, 40915_Sippy Cups}
54000000_Baby Care;40000_Baby & Toddler;54100000_Baby Feeding/Hygiene;{40800_Diapering, 40900_Nursing & Feeding, 40100_Baby Bathing, 41000_Potty Training};54101700_Baby Feeding/Hygiene Variety Packs;
54000000_Baby Care;40000_Baby & Toddler;54100000_Baby Feeding/Hygiene;{40800_Diapering, 40900_Nursing & Feeding, 40100_Baby Bathing, 41000_Potty Training};54101600_Baby Hygiene/Grooming;{40101_Baby Bathtubs & Bath Seats, 40102_Shower Visors, 40301_Baby Health & Grooming Kits, 40303_Pacifier Clips & Holders, 40304_Pacifier Wipes, 40305_Pacifiers & Teethers, 40801_Baby Wipe Dispensers & Warmers, 40802_Baby Wipes, 40803_Changing Mat & Tray Covers, 40804_Changing Mats & Trays, 40805_Diaper Kits, 40806_Diaper Liners, 40807_Diaper Organizers, 40808_Diaper Pail Accessories, 40809_Diaper Pails, 40810_Diaper Rash Treatments, 40811_Diaper Wet Bags, 40812_Diapers, 41001_Potty Seats, 41002_Potty Training Kits}
54000000_Baby Care;40000_Baby & Toddler;54110000_Baby Welfare;{40400_Baby Safety, 40600_Baby Transport, 40700_Baby Transport Accessories, 41100_Swaddling & Receiving Blankets};54111600_Baby Exercisers;{40503_Baby Bouncers & Rockers, 40504_Baby Jumpers & Swings, 40505_Baby Mobile Accessories, 40506_Baby Mobiles, 40507_Baby Soothers, 40508_Baby Walkers & Entertainers, 40509_Play Mats & Gyms, 40510_Play Yards, 40511_Push & Pull Toys}
54000000_Baby Care;40000_Baby & Toddler;54110000_Baby Welfare;{40400_Baby Safety, 40600_Baby Transport, 40700_Baby Transport Accessories, 41100_Swaddling & Receiving Blankets};54111500_Baby Furniture/Transportation/Safety;{40401_Baby & Pet Gate Accessories, 40402_Baby & Pet Gates, 40403_Baby Monitors, 40404_Baby Safety Harnesses & Leashes, 40405_Baby Safety Locks & Guards, 40406_Baby Safety Rails, 40601_Baby & Toddler Car Seats, 40602_Baby Carriers, 40603_Baby Strollers, 40701_Baby & Toddler Car Seat Accessories, 40702_Baby Carrier Accessories, 40703_Baby Stroller Accessories, 40704_Baby Transport Liners & Sacks, 40705_Shopping Cart & High Chair Covers, 90100_Baby & Toddler Furniture}
54000000_Baby Care;40000_Baby & Toddler;54110000_Baby Welfare;{40400_Baby Safety, 40600_Baby Transport, 40700_Baby Transport Accessories, 41100_Swaddling & Receiving Blankets};54111700_Baby Welfare Variety Packs;
58000000_Cross Segment;;58010000_Cross Segment;;58010100_Cross Segment;
60000000_Textual/Printed/Reference Materials;;60010000_Textual/Printed/Reference Materials;;{60010200_Books, 160100_Book Accessories};{150100_Books, 140101_Erotic Books}
60000000_Textual/Printed/Reference Materials;;60010000_Textual/Printed/Reference Materials;;60010400_Maps;
60000000_Textual/Printed/Reference Materials;;60010000_Textual/Printed/Reference Materials;;60010300_Periodicals;{150400_Magazines & Newspapers, 140106_Erotic Magazines}
60000000_Textual/Printed/Reference Materials;;60010000_Textual/Printed/Reference Materials;;60010100_Textual/Printed/Reference Materials Variety Packs;{50101_Brochures, 150600_Product Manuals}
61000000_Music;;61010000_Musical Instruments/Accessories;;61010400_Musical Instrument Accessories;30207_Musical Instrument & Orchestra Accessories
61000000_Music;;61010000_Musical Instruments/Accessories;;61010200_Musical Instruments (Non Powered);30208_Musical Instruments
61000000_Music;;61010000_Musical Instruments/Accessories;;61010300_Musical Instruments (Powered);30208_Musical Instruments
61000000_Music;;61010000_Musical Instruments/Accessories;;61010500_Musical Instruments/Accessories Variety Packs;30207_Musical Instrument & Orchestra Accessories
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62050000_Greeting Cards/Gift Wrap/Occasion Supplies;;62050100_Gift Wrap/Accessories;
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62050000_Greeting Cards/Gift Wrap/Occasion Supplies;;62050200_Greeting Cards/Gift Wrap/Occasion Supplies Variety Packs;
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62050000_Greeting Cards/Gift Wrap/Occasion Supplies;;62050300_Greeting Cards/Invitations;
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62050000_Greeting Cards/Gift Wrap/Occasion Supplies;;62050400_Occasion Supplies;30300_Party & Celebration
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060300_Office Machinery;{161001_Calculator Accessories, 161002_Calculators, 161004_Label Makers, 161005_Laminators, 161203_Paper Folding Machines, 161204_Paper Joggers}
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060400_Organizational Planning Stationery;{160300_Filing & Organization, 160404_Labels & Tags}
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060500_Postal/Packaging Equipment/Aids/Accessories;{161400_Shipping Supplies, 161007_Postage Meters, 161103_Letter Openers}
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060600_Presentation Equipment;161300_Presentation Supplies
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060700_Stationery Adhesives/Binders/Fasteners;{160401_Brass Fasteners, 160406_Mounting Putty, 160407_Office Tape, 160408_Paper Clips & Clamps, 160410_Rubber Bands, 160411_Staples, 160412_Tacks & Pushpins, 160500_Impulse Sealers, 161102_Clipboards}
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060800_Stationery Cutters/Trimmers;{161006_Office Shredders, 161202_Hole Punches}
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62061100_Stationery Paper/Card/Film;{160405_Laminating Film, Pouches & Sheets, 160409_Paper Products, 161107_Staple Removers, 161108_Staplers, 161109_Tape Dispensers}
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060900_Stationery Storage/Filing;120312_Bookends
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62061000_Stationery/Office Machinery Variety Packs;
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62060000_Stationery/Office Machinery;;62060100_Writing/Design Implements/Aids;{160402_Correction Fluids, Pens & Tapes, 160403_Erasers, 161105_Office Rubber Stamps, 161106_Pencil Sharpeners, 161110_Writing & Drawing Instrument Accessories, 161111_Writing & Drawing Instruments,161206_Pencil Boards}
62000000_Stationery/Office Machinery/Occasion Supplies;160000_Office Supplies;62070000_Stationery/Office Machinery/Occasion Supplies Variety Packs;;62070100_Stationery/Office Machinery/Occasion Supplies Variety Packs;
63000000_Footwear;{20700_Shoe Accessories, 20800_Shoes};63010000_Footwear;;63010100_Athletic Footwear;20800_Shoes
63000000_Footwear;{20700_Shoe Accessories, 20800_Shoes};63010000_Footwear;;63010200_Footwear Accessories;{20701_Boot Liners, 20702_Gaiters, 20703_Shoe Covers, 20704_Shoelaces, 20705_Spurs, 121013_Shoe Care & Tools}
63000000_Footwear;{20700_Shoe Accessories, 20800_Shoes};63010000_Footwear;;63010300_General Purpose Footwear;20800_Shoes
63000000_Footwear;{20700_Shoe Accessories, 20800_Shoes};63010000_Footwear;;63010400_Indoor Footwear;20800_Shoes
63000000_Footwear;{20700_Shoe Accessories, 20800_Shoes};63010000_Footwear;;63010500_Safety/Protective Footwear;20800_Shoes
64000000_Personal Accessories;;64010000_Personal Accessories;;64010100_Jewellery;{20601_Anklets, 20602_Body Jewelry, 20603_Bracelets, 20604_Brooches & Lapel Pins, 20605_Charms & Pendants, 20606_Earrings, 20607_Jewelry Sets, 20608_Necklaces, 20609_Rings}
64000000_Personal Accessories;;64010000_Personal Accessories;;64010400_Personal Accessories Variety Packs;
64000000_Personal Accessories;;64010000_Personal Accessories;;64010200_Personal Carriers/Accessories;{20400_Handbag & Wallet Accessories, 20500_Handbags, Wallets & Cases, 130000_Luggage & Bags, 122000_Umbrella Sleeves & Cases}
64000000_Personal Accessories;;64010000_Personal Accessories;;64010300_Watches;{20610_Watch Accessories, 20611_Watches}
65000000_Computing;;65010000_Computers/Video Games;;65010200_Computer Components;{71701_Computer Monitors, 70709_Computer Components}
65000000_Computing;;65010000_Computers/Video Games;;65010300_Computer Drives;
65000000_Computing;;65010000_Computers/Video Games;;65010800_Computer Networking Equipment;71200_Networking
65000000_Computing;;65010000_Computers/Video Games;;65010100_Computer/Video Game Accessories;{70708_Computer Accessories, 71800_Video Game Console Accessories, 160600_Lap Desks}
65000000_Computing;;65010000_Computers/Video Games;;65010600_Computer/Video Game Control/Input Devices;
65000000_Computing;;65010000_Computers/Video Games;;65010700_Computer/Video Game Peripherals;{60208_Webcams, 71300_Print, Copy, Scan & Fax, 71702 Projectors}
65000000_Computing;;65010000_Computers/Video Games;;65010400_Computer/Video Game Software;{180100_Computer Software, 180200_Digital Goods & Currency, 180300_Video Game Software}
65000000_Computing;;65010000_Computers/Video Games;;65010500_Computers;{161003_Electronic Dictionaries & Translators, 161009_Transcribers & Dictation Systems, 161010_Typewriters, 70600_Computers}
65000000_Computing;;65010000_Computers/Video Games;;65010900_Computers/Video Games Variety Packs;
65000000_Computing;;65010000_Computers/Video Games;;65011000_Video Game Consoles;{71900_Video Game Consoles}
66000000_Communications;;66010000_Communications;;66010100_Communication Accessories;{70404_Communication Radios, 70405_Intercom Accessories, 70714_Mobile Phone & Tablet Tripods & Monopods}
66000000_Communications;;66010000_Communications;;66010400_Communication Variety Packs;
66000000_Communications;;66010000_Communications;;66010200_Fixed Communication Devices;{70401_Answering Machines, 70402_Caller IDs, 70403_Communication Radio Accessories, 70404_Communication Radios, 70405_Intercom Accessories, 70406_Intercoms, 70407_Pagers, 70408_Telephony, 70409_Video Conferencing}
66000000_Communications;;66010000_Communications;;66010300_Mobile Communication Devices/Services;
66000000_Communications;;66010000_Communications;;66010500_Signage;52400_Signage
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010100_Clothing Accessories;20200_Clothing Accessories
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67011100_Clothing Variety Packs;
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010200_Full Body Wear;{20103_Dresses, 20106_Outfit Sets, 20113_Suits, 20117_Uniforms, 20118_Wedding & Bridal Party Dresses}
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010300_Lower Body Wear/Bottoms;{20107_Pants, 20109_Shorts, 20110_Skirts, 20111_Skorts}
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010900_Protective Wear;52500_Work Safety Protective Gear
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010500_Sleepwear;20112_Sleepwear & Loungewear
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010600_Sportswear;20101_Activewear
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010700_Underwear;{20114_Swimwear, 20116_Underwear & Socks}
67000000_Clothing;{20100_Clothing, 20200_Clothing Accessories};67010000_Clothing;;67010800_Upper Body Wear/Tops;{20105_Outerwear, 20108_Shirts & Tops}
68000000_Audio Visual/Photography;;68010000_Audio Visual Equipment;;68010700_Audio Visual Accessories;70201_Audio Accessories
68000000_Audio Visual/Photography;;68010000_Audio Visual Equipment;;68010800_Audio Visual Equipment Variety Packs;{70205_DJ & Specialty Audio, 70207_Stage Equipment}
68000000_Audio Visual/Photography;;68010000_Audio Visual Equipment;;68010400_Home Audio Equipment;{70202_Audio Components, 70203_Audio Players & Recorders}
68000000_Audio Visual/Photography;;68010000_Audio Visual Equipment;;68010300_Portable Audio/Video;{70204_Bullhorns, 70206_Public Address Systems}
68000000_Audio Visual/Photography;;68010000_Audio Visual Equipment;;68010100_Televisions;{71703_Satellite & Cable TV, 71704_Televisions}
68000000_Audio Visual/Photography;;68010000_Audio Visual Equipment;;68010900_Video Receiving/Installation;{70702_Antenna Accessories, 70703_Antennas}
68000000_Audio Visual/Photography;;68010000_Audio Visual Equipment;;68010200_Video Recording/Playback;{71708_Video Players & Recorders, 71710_Video Transmitters}
68000000_Audio Visual/Photography;;68040000_Audio Visual Media;;68040100_Pre-Recorded or Digital Content Media;{140103_Erotic DVDs & Videos, 150300_DVDs & Videos, 150500_Music & Sound Recordings}
68000000_Audio Visual/Photography;;68040000_Audio Visual Media;;68040200_Recordable Media;
68000000_Audio Visual/Photography;;68050000_Audio Visual/Photography Variety Packs;;68050100_Audio Visual/Photography Variety Packs;
68000000_Audio Visual/Photography;;68030000_In-car Electronics;;68030200_Car Audio;
68000000_Audio Visual/Photography;;68030000_In-car Electronics;;68030100_Car Video/Navigation;{70900_GPS Navigation Systems, 71000_GPS Tracking Devices, 71400_Radar Detectors}
68000000_Audio Visual/Photography;;68030000_In-car Electronics;;68030300_In-car Electronics Variety Packs;
68000000_Audio Visual/Photography;;68020000_Photography/Optics;{60400_Photography, 60300_Optics};68020200_Optics;{161104_Magnifiers, 60301_Binoculars, 60302_Monoculars, 60303_Rangefinders, 60304_Scopes, 60201_Borescopes, 60102_Camera & Video Camera Lenses, 60103_Camera Lens Accessories, 60104_Camera Parts & Accessories, 60105_Optic Accessories}
68000000_Audio Visual/Photography;;68020000_Photography/Optics;{60400_Photography, 60300_Optics};68020100_Photography;{60202_Digital Cameras, 60203_Disposable Cameras, 60204_Film Cameras, 60205_Surveillance Cameras, 60206_Trail Cameras, 60207_Video Cameras, 60206_Trail Cameras, 60101_Camera & Optic Replacement Cables, 60102_Camera & Video Camera Lenses, 60103_Camera Lens Accessories, 60104_Camera Parts & Accessories, 60105_Optic Accessories, 60106_Tripod & Monopod Accessories, 60107_Tripods & Monopods}
68000000_Audio Visual/Photography;;68020000_Photography/Optics;{60400_Photography, 60300_Optics};68020300_Photography Printing/Dark Room Equipment;{60401_Darkroom, 60402_Lighting & Studio,60403_Photo Mounting Supplies, 60404_Photo Negative & Slide Storage}
68000000_Audio Visual/Photography;;68020000_Photography/Optics;{60400_Photography, 60300_Optics};68020400_Photography/Optics Variety Packs;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010200_Airbrushing Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010100_Artists Painting/Drawing Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70011300_Arts/Crafts Variety Packs;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010600_Basketry Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010900_Candle/Soap Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010800_Glasswork/Enamelling/Marquetry Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010500_Jewellery Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010400_Needlework/Toy Making Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010700_Paper/Card Making Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70011100_Printing Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70010300_Sculptors/Pottery Craft Supplies;
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70011200_Spinning/Weaving Craft Supplies;92508_Sewing Machine Tables
70000000_Arts/Crafts/Needlework;30201_Arts & Crafts;70010000_Arts/Crafts/Needlework Supplies;;70011000_Wood Burning/Engraving Craft Supplies;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010700_Combat Sports Equipment;{190103_Boxing & Martial Arts, 190125_Wrestling}
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010800_Cycle Sports Equipment;190404_Cycling
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71012100_Fishing/Angling Sports Equipment;190406_Fishing
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011000_Gymnastics Sports Equipment;190114_Gymnastics
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011700_Hunting Sports Aids;190409_Hunting & Shooting
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011100_Kiting/Parachuting Sports Equipment;{190408_Hang Gliding & Skydiving, 190413_Kite Buggying}
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010900_Personal Fitness Sports Equipment;190200_Exercise & Fitness
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010300_Racquet Sports Equipment;{190115_Racquetball & Squash, 190120_Tennis, 190306_Ping Pong}
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011200_Scooter/Skateboard Sports Equipment;190416_Skateboarding
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010500_Snow/Ice Sports Equipment;190417_Winter Sports & Activities
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011600_Sporting Firearms Equipment;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010200_Sports Balls/Pucks/Shuttlecocks/Frisbees/Boomerangs;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010400_Sports Bats/Sticks/Clubs/Cues/Mallets;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011900_Sports Equipment Accessories;190113_General Purpose Athletic Equipment
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71012300_Sports Equipment Variety Packs;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71012000_Sports Personal Protective Equipment;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011400_Sports Tables;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011300_Swimming/Surfing/Diving Sports Equipment;{190410_Hydration System Accessories, 190411_Hydration Systems}
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011500_Target Sports Equipment;190308_Throwing Darts
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010100_Track/Field Sports Equipment;
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71010600_Trekking/Mountaineering Sports Equipment;{190402_Camping & Hiking, 190403_Climbing}
71000000_Sports Equipment;190000_Sporting Goods;71010000_Sports Equipment;;71011800_Watercraft Sports Equipment (Non Powered);190401_Boating & Water Sports
72000000_Home Appliances;;72010000_Major Domestic Appliances;;72010600_Kitchen Washing Appliances;
72000000_Home Appliances;;72010000_Major Domestic Appliances;;72010300_Major Cooking Appliances;121109_Prefabricated Kitchens & Kitchenettes
72000000_Home Appliances;;72010000_Major Domestic Appliances;;72010500_Major Laundry Appliances;{120908_Laundry Appliances, 120809_Laundry Appliance Accessories}
72000000_Home Appliances;;72010000_Major Domestic Appliances;;72010700_Major Water Dispensers;
72000000_Home Appliances;;72010000_Major Domestic Appliances;;72010200_Refrigerating/Freezing Appliances;
72000000_Home Appliances;;72010000_Major Domestic Appliances;;72010400_Warming Appliances;
72000000_Home Appliances;;72010000_Major Domestic Appliances;;72010100_Waste Disposing/Compacting Appliances;
